iter	Passed	Remaining
0	0	865
1	1	723
2	2	708
3	2	676
4	3	709
5	4	728
6	5	719
7	5	738
8	6	732
9	7	724
10	7	712
11	8	704
12	9	697
13	9	697
14	10	691
15	11	681
16	11	674
17	12	675
18	13	671
19	13	664
20	14	663
21	14	659
22	15	654
23	16	654
24	16	652
25	17	650
26	17	647
27	18	653
28	19	656
29	20	657
30	20	655
31	21	654
32	22	653
33	22	651
34	23	649
35	24	648
36	24	645
37	25	641
38	26	640
39	26	641
40	27	639
41	28	640
42	28	641
43	29	639
44	30	640
45	30	638
46	31	637
47	32	635
48	32	636
49	33	633
50	34	636
51	35	639
52	35	641
53	36	640
54	37	638
55	37	637
56	38	635
57	39	635
58	39	637
59	40	637
60	41	635
61	41	633
62	42	632
63	43	632
64	43	631
65	44	631
66	45	631
67	46	631
68	46	630
69	47	627
70	47	626
71	48	625
72	49	627
73	50	629
74	51	629
75	51	629
76	52	629
77	53	628
78	53	628
79	54	626
80	55	626
81	56	627
82	56	624
83	57	625
84	58	624
85	58	623
86	59	623
87	60	623
88	60	623
89	61	623
90	62	623
91	63	623
92	63	623
93	64	626
94	65	625
95	66	628
96	67	628
97	68	627
98	69	628
99	70	630
100	70	629
101	71	628
102	72	627
103	72	626
104	73	624
105	73	624
106	74	622
107	75	623
108	76	622
109	76	622
110	77	622
111	78	622
112	79	623
113	80	625
114	81	626
115	82	626
116	82	624
117	83	624
118	84	622
119	84	622
120	85	621
121	86	618
122	86	617
123	87	617
124	88	616
125	88	615
126	89	613
127	89	612
128	91	615
129	91	615
130	92	616
131	93	615
132	94	616
133	95	618
134	96	617
135	97	617
136	98	617
137	99	618
138	99	617
139	100	616
140	101	616
141	101	614
142	102	614
143	103	612
144	103	611
145	104	610
146	105	609
147	105	608
148	106	608
149	107	608
150	108	608
151	109	608
152	109	608
153	110	607
154	111	607
155	112	606
156	112	605
157	113	606
158	114	605
159	115	605
160	115	603
161	116	601
162	117	602
163	118	603
164	118	601
165	119	599
166	120	599
167	121	599
168	121	599
169	122	598
170	123	597
171	123	596
172	124	595
173	125	595
174	126	595
175	127	595
176	127	595
177	128	594
178	129	593
179	130	592
180	130	591
181	131	590
182	131	588
183	132	587
184	133	586
185	133	586
186	134	585
187	135	584
188	136	583
189	136	582
190	137	581
191	137	580
192	138	579
193	139	578
194	140	578
195	140	578
196	141	577
197	142	577
